Boro,Vol,geometry,congestion,congestion_level,timestamp,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Location Type,Street Name
Queens,80,"POLYGON ((-73.81541389765073 40.74737074495193, -73.81541009509041 40.74874311612577, -73.81721463653965 40.74874599393325, -73.81721840192655 40.747373622700685, -73.81541389765073 40.74737074495193))",0.0355,0,2024-06-08 22:30:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,OAK AVENUE
Bronx,69,"POLYGON ((-73.84214963396792 40.858153875054015, -73.84214637675906 40.859526222761566, -73.84395392515691 40.85952868162896, -73.84395714506833 40.858156333871264, -73.84214963396792 40.858153875054015))",0.122636364,0,2025-04-21 11:15:00,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,EASTCHESTER ROAD
Manhattan,223,"POLYGON ((-73.9743296272132 40.78160532554132, -73.97432909811918 40.78297769274536, -73.97613457124638 40.78297808078293, -73.97613506312841 40.781605713570954, -73.9743296272132 40.78160532554132))",0.294327273,0,2025-06-21 12:30:00,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,COLUMBUS AVENUE
Manhattan,72,"POLYGON ((-73.9743296272132 40.78160532554132, -73.97432909811918 40.78297769274536, -73.97613457124638 40.78297808078293, -73.97613506312841 40.781605713570954, -73.9743296272132 40.78160532554132))",-1.557481818,0,2025-06-22 06:30:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,COLUMBUS AVENUE
Manhattan,115,"POLYGON ((-73.98885407294881 40.771882248225054, -73.9888538432528 40.773254617502765, -73.99065905282708 40.77325477798656, -73.99065924532198 40.77188240870558, -73.98885407294881 40.771882248225054))",0.523081633,0,2024-10-16 15:30:00,Department of Transportation,Street Condition,Pothole,,WEST END AVENUE
Manhattan,141,"POLYGON ((-73.99552426194508 40.72457471408772, -73.99552416977424 40.7259470926687, -73.99732809787078 40.72594714866016, -73.99732815289329 40.72457477007803, -73.99552426194508 40.72457471408772))",-0.572044304,0,2025-03-17 07:00:00,Department of Sanitation,Dumpster Complaint,Blocking Sidewalk or Street,Sidewalk,LAFAYETTE STREET
Queens,60,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",-0.238058824,0,2025-03-27 09:00:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,40 ROAD
Manhattan,13,"POLYGON ((-73.91054710153593 40.87066408637457, -73.91054525534635 40.87203643253038, -73.91235314578083 40.87203781981599, -73.91235495465874 40.87066547363189, -73.91054710153593 40.87066408637457))",0.6745,0,2025-01-11 18:30:00,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,WEST  219 STREET
Brooklyn,758,"POLYGON ((-73.99797327580453 40.69365892477378, -73.99797323408666 40.69503130892571, -73.99977632571067 40.69503132655451, -73.99977633031466 40.693658942402216, -73.99797327580453 40.69365892477378))",0.019271429,0,2025-05-06 15:30:00,Department of Transportation,Street Light Condition,Street Light Out,,
Brooklyn,104,"POLYGON ((-73.97768430166774 40.68339112128719, -73.97768384239461 40.68476350715659, -73.97948665633055 40.68476384266147, -73.97948707850122 40.683391456785245, -73.97768430166774 40.68339112128719))",0.6745,0,2024-11-11 16:30:00,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,FLATBUSH AVENUE
Queens,82,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",0.634823529,0,2025-03-30 16:45:00,Department of Transportation,Traffic Signal Condition,Controller,,
Brooklyn,644,"POLYGON ((-73.99797327580453 40.69365892477378, -73.99797323408666 40.69503130892571, -73.99977632571067 40.69503132655451, -73.99977633031466 40.693658942402216, -73.99797327580453 40.69365892477378))",-1.0792,0,2025-05-08 17:00:00,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,JORALEMON STREET
Bronx,7,"POLYGON ((-73.92786156576815 40.807569374029164, -73.92786007833753 40.80894173522378, -73.92966625525976 40.80894285127137, -73.9296677054494 40.807570490053976, -73.92786156576815 40.807569374029164))",-0.5396,0,2025-04-07 12:00:00,Department of Transportation,Traffic Signal Condition,Post,,
Queens,125,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",2.340911765,2,2025-03-27 18:15:00,Department of Transportation,Traffic Signal Condition,Controller,,
Queens,67,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",0.039676471,0,2025-03-31 14:00:00,Department of Transportation,Traffic Signal Condition,Bike Signal,,
Queens,98,"POLYGON ((-73.8244428013427 40.77554505048763, -73.82443918325161 40.776917416261746, -73.82624448858043 40.77692015259466, -73.82624806946662 40.77554778676471, -73.8244428013427 40.77554505048763))",0.953603448,0,2024-06-05 08:45:00,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,25 ROAD
Queens,88,"POLYGON ((-73.8244428013427 40.77554505048763, -73.82443918325161 40.776917416261746, -73.82624448858043 40.77692015259466, -73.82624806946662 40.77554778676471, -73.8244428013427 40.77554505048763))",0.721017241,0,2024-06-05 09:00:00,Department of Transportation,Street Sign - Dangling,Bus Stop,Street,25 ROAD
Queens,101,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",1.388676471,1,2025-03-27 09:00:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,40 ROAD
Queens,77,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",0.436441176,0,2025-03-27 18:15:00,Department of Transportation,Traffic Signal Condition,Controller,,
Queens,24,"POLYGON ((-73.80240146876282 40.68797242598935, -73.80239740176701 40.689344807630945, -73.80420033511498 40.68934788934322, -73.80420436500361 40.6879755076387, -73.80240146876282 40.68797242598935))",0.6745,0,2024-01-23 15:30:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,PINEGROVE STREET
Queens,24,"POLYGON ((-73.80240146876282 40.68797242598935, -73.80239740176701 40.689344807630945, -73.80420033511498 40.68934788934322, -73.80420436500361 40.6879755076387, -73.80240146876282 40.68797242598935))",0.6745,0,2024-01-23 17:30:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,PINEGROVE STREET
Queens,24,"POLYGON ((-73.80240146876282 40.68797242598935, -73.80239740176701 40.689344807630945, -73.80420033511498 40.68934788934322, -73.80420436500361 40.6879755076387, -73.80240146876282 40.68797242598935))",0.6745,0,2024-01-23 17:30:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,PINEGROVE STREET
Brooklyn,117,"POLYGON ((-73.99070322092639 40.68875035762872, -73.99070302957661 40.69012274262093, -73.99250598845698 40.69012287415301, -73.99250614269835 40.68875048915813, -73.99070322092639 40.68875035762872))",0.4047,0,2025-03-18 12:15:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,PACIFIC STREET
Manhattan,83,"POLYGON ((-73.9513116249555 40.802798387854835, -73.95131062111622 40.804170750353514, -73.95311666890105 40.8041714990096, -73.95311763550467 40.80279913649568, -73.9513116249555 40.802798387854835))",0.574574074,0,2024-02-29 10:45:00,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,7 AVENUE
Manhattan,83,"POLYGON ((-73.9513116249555 40.802798387854835, -73.95131062111622 40.804170750353514, -73.95311666890105 40.8041714990096, -73.95311763550467 40.80279913649568, -73.9513116249555 40.802798387854835))",0.574574074,0,2024-02-29 10:45:00,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,7 AVENUE
Brooklyn,859,"POLYGON ((-73.9980729322826 40.69370492885946, -73.99807289261602 40.695077313003424, -73.99987598548415 40.69507732907088, -73.9998759880368 40.693704944926566, -73.9980729322826 40.69370492885946))",0.992478571,0,2025-05-06 15:30:00,Department of Transportation,Street Light Condition,Street Light Out,,
Brooklyn,105,"POLYGON ((-73.97768430166774 40.68339112128719, -73.97768384239461 40.68476350715659, -73.97948665633055 40.68476384266147, -73.97948707850122 40.683391456785245, -73.97768430166774 40.68339112128719))",0.699481481,0,2024-11-11 16:30:00,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,FLATBUSH AVENUE
Brooklyn,63,"POLYGON ((-74.02980326412843 40.623651032209324, -74.02980387695203 40.625023427422285, -74.03160507716542 40.62502294637196, -74.0316044273058 40.62365055116883, -74.02980326412843 40.623651032209324))",0.439891304,0,2025-06-09 09:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,85 STREET
Manhattan,122,"POLYGON ((-73.97178007473232 40.794343669435854, -73.97177949297799 40.795716033913855, -73.97358531156605 40.795716461891985, -73.97358585609415 40.79434409740523, -73.97178007473232 40.794343669435854))",0.616685714,0,2025-03-06 08:15:00,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,WEST   96 STREET
Manhattan,74,"POLYGON ((-73.97178007473232 40.794343669435854, -73.97177949297799 40.795716033913855, -73.97358531156605 40.795716461891985, -73.97358585609415 40.79434409740523, -73.97178007473232 40.794343669435854))",-0.308342857,0,2025-03-08 10:45:00,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,WEST   96 STREET
Manhattan,126,"POLYGON ((-73.97178007473232 40.794343669435854, -73.97177949297799 40.795716033913855, -73.97358531156605 40.795716461891985, -73.97358585609415 40.79434409740523, -73.97178007473232 40.794343669435854))",0.693771429,0,2025-03-08 13:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,WEST END AVENUE
Manhattan,64,"POLYGON ((-73.97178007473232 40.794343669435854, -73.97177949297799 40.795716033913855, -73.97358531156605 40.795716461891985, -73.97358585609415 40.79434409740523, -73.97178007473232 40.794343669435854))",-0.501057143,0,2025-03-10 19:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,WEST   96 STREET
Manhattan,9,"POLYGON ((-73.91101950432183 40.87001883438244, -73.91101766789986 40.87139118070544, -73.91282554080058 40.87139256059028, -73.91282733991163 40.870020214239126, -73.91101950432183 40.87001883438244))",0.2698,0,2025-01-11 18:30:00,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,WEST  219 STREET
Queens,6,"POLYGON ((-73.7728496017094 40.65902042351718, -73.77284492850401 40.66039280882225, -73.7746470778922 40.66039635355003, -73.77465171402272 40.65902396817259, -73.7728496017094 40.65902042351718))",-1.059928571,0,2025-04-28 03:30:00,Department of Transportation,Street Light Condition,Lamppost Knocked Down,,
Brooklyn,148,"POLYGON ((-73.921704844921 40.65360755863332, -73.92170323427 40.65497994886049, -73.92350524271427 40.65498116142401, -73.923506816296 40.65360877117208, -73.921704844921 40.65360755863332))",1.662160714,1,2024-05-17 18:00:00,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,LINDEN BOULEVARD
Brooklyn,89,"POLYGON ((-73.921704844921 40.65360755863332, -73.92170323427 40.65497994886049, -73.92350524271427 40.65498116142401, -73.923506816296 40.65360877117208, -73.921704844921 40.65360755863332))",0.240892857,0,2024-05-17 18:00:00,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,LINDEN BOULEVARD
Queens,73,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",0.277735294,0,2025-03-30 16:45:00,Department of Transportation,Traffic Signal Condition,Controller,,
Brooklyn,28,"POLYGON ((-74.0233465611785 40.63904582452113, -74.02334704134819 40.640418217490144, -74.02514865715985 40.640417837597134, -74.02514813993702 40.639045444635876, -74.0233465611785 40.63904582452113))",-0.378378049,0,2025-01-29 22:30:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,65 STREET
Brooklyn,64,"POLYGON ((-74.0233465611785 40.63904582452113, -74.02334704134819 40.640418217490144, -74.02514865715985 40.640417837597134, -74.02514813993702 40.639045444635876, -74.0233465611785 40.63904582452113))",0.806109756,0,2025-01-30 10:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,65 STREET
Brooklyn,50,"POLYGON ((-74.0233465611785 40.63904582452113, -74.02334704134819 40.640418217490144, -74.02514865715985 40.640417837597134, -74.02514813993702 40.639045444635876, -74.0233465611785 40.63904582452113))",0.34547561,0,2025-01-30 11:30:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,65 STREET
Bronx,116,"POLYGON ((-73.84152954456823 40.86780053391224, -73.84152627408959 40.86917287924508, -73.84333408468446 40.86917534782106, -73.84333731785483 40.86780300243788, -73.84152954456823 40.86780053391224))",0.246768293,0,2024-09-14 10:00:00,Department of Transportation,Street Light Condition,Street Light Out,,O NEIL PLACE
Brooklyn,83,"POLYGON ((-73.97768430166774 40.68339112128719, -73.97768384239461 40.68476350715659, -73.97948665633055 40.68476384266147, -73.97948707850122 40.683391456785245, -73.97768430166774 40.68339112128719))",0.149888889,0,2024-11-09 14:45:00,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,ATLANTIC AVENUE
Bronx,24,"POLYGON ((-73.90775266526711 40.81245929607161, -73.90775076306916 40.813831655883895, -73.9095570723184 40.81383308697624, -73.90955893726995 40.81246072713476, -73.90775266526711 40.81245929607161))",-0.618291667,0,2024-01-15 08:15:00,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,JACKSON AVENUE
Bronx,22,"POLYGON ((-73.90775266526711 40.81245929607161, -73.90775076306916 40.813831655883895, -73.9095570723184 40.81383308697624, -73.90955893726995 40.81246072713476, -73.90775266526711 40.81245929607161))",-0.6745,0,2024-01-15 08:45:00,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,JACKSON AVENUE
Bronx,26,"POLYGON ((-73.90775266526711 40.81245929607161, -73.90775076306916 40.813831655883895, -73.9095570723184 40.81383308697624, -73.90955893726995 40.81246072713476, -73.90775266526711 40.81245929607161))",-0.562083333,0,2024-01-15 09:15:00,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,JACKSON AVENUE
Brooklyn,55,"POLYGON ((-74.02980326412843 40.623651032209324, -74.02980387695203 40.625023427422285, -74.03160507716542 40.62502294637196, -74.0316044273058 40.62365055116883, -74.02980326412843 40.623651032209324))",0.205282609,0,2025-06-09 09:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,85 STREET
Brooklyn,60,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",0.139551724,0,2025-06-03 13:00:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,DOUGHTY STREET
Brooklyn,112,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",1.349,1,2025-06-03 15:45:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,ELIZABETH PLACE
Brooklyn,109,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",1.279224138,1,2025-06-03 16:30:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,OLD FULTON STREET
Brooklyn,60,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",0.139551724,0,2025-06-04 12:15:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,OLD FULTON STREET
Brooklyn,60,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",0.139551724,0,2025-06-04 12:15:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,WATER STREET
Brooklyn,76,"POLYGON ((-73.99261608308665 40.70185021194682, -73.99261593107823 40.703222594657355, -73.99441924425035 40.703222696217054, -73.99441935913575 40.70185031350447, -73.99261608308665 40.70185021194682))",0.511689655,0,2025-06-04 14:45:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,OLD FULTON STREET
Manhattan,239,"POLYGON ((-73.9743296272132 40.78160532554132, -73.97432909811918 40.78297769274536, -73.97613457124638 40.78297808078293, -73.97613506312841 40.781605713570954, -73.9743296272132 40.78160532554132))",0.490545455,0,2025-06-20 12:45:00,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,WEST   80 STREET
Queens,35,"POLYGON ((-73.91587570304878 40.706029464040604, -73.91587397112255 40.70740184537927, -73.91767739656024 40.707403149250666, -73.91767909135889 40.70603076788541, -73.91587570304878 40.706029464040604))",0.551863636,0,2024-06-19 10:15:00,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,DEKALB AVENUE
Brooklyn,74,"POLYGON ((-73.91083815233019 40.70048814752186, -73.91083631684495 40.70186052976721, -73.91263959228006 40.70186191256544, -73.91264139064388 40.70048953029187, -73.91083815233019 40.70048814752186))",1.68625,1,2024-06-01 16:15:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,LINDEN STREET
Brooklyn,13,"POLYGON ((-73.941850290352 40.66287204946303, -73.94184909395737 40.664244438463406, -73.94365135299687 40.66424533539782, -73.94365251231189 40.66287294637913, -73.941850290352 40.66287204946303))",-1.211346939,0,2025-06-18 03:15:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,KINGSTON AVENUE
Brooklyn,898,"POLYGON ((-73.9980729322826 40.69370492885946, -73.99807289261602 40.695077313003424, -73.99987598548415 40.69507732907088, -73.9998759880368 40.693704944926566, -73.9980729322826 40.69370492885946))",1.368271429,1,2025-05-08 17:00:00,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,JORALEMON STREET
Brooklyn,33,"POLYGON ((-73.94120829313484 40.7219045876724, -73.94120708246008 40.723276966442825, -73.94301093790065 40.72327787341636, -73.9430121114301 40.721905494627435, -73.94120829313484 40.7219045876724))",1.01175,1,2025-04-10 09:45:00,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,MEEKER AVENUE
Brooklyn,51,"POLYGON ((-73.94120829313484 40.7219045876724, -73.94120708246008 40.723276966442825, -73.94301093790065 40.72327787341636, -73.9430121114301 40.721905494627435, -73.94120829313484 40.7219045876724))",2.22585,2,2025-04-10 16:15:00,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,ENGERT AVENUE
Queens,70,"POLYGON ((-73.92422280336952 40.77127240379906, -73.92422124176248 40.77264477270012, -73.92602643417196 40.77264594577067, -73.92602795857863 40.77127357684567, -73.92422280336952 40.77127240379906))",0.21078125,0,2025-04-22 19:00:00,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,NEWTOWN AVENUE
Queens,70,"POLYGON ((-73.92422280336952 40.77127240379906, -73.92422124176248 40.77264477270012, -73.92602643417196 40.77264594577067, -73.92602795857863 40.77127357684567, -73.92422280336952 40.77127240379906))",0.21078125,0,2025-04-22 19:00:00,Department of Sanitation,Street Sweeping Complaint,Inadequate Sweeping,Street,NEWTOWN AVENUE
Bronx,29,"POLYGON ((-73.92835908518103 40.80740603366862, -73.92835760801243 40.808778394905765, -73.93016378051031 40.80877950315876, -73.93016522043811 40.80740714189901, -73.92835908518103 40.80740603366862))",0.9443,0,2025-04-04 10:45:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,LINCOLN AVENUE
Queens,74,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",0.317411765,0,2025-03-31 14:00:00,Department of Transportation,Traffic Signal Condition,Bike Signal,,
Brooklyn,46,"POLYGON ((-73.91301825398466 40.65600679415689, -73.91301646457293 40.657379183877744, -73.91481853766112 40.65738053253644, -73.91482029000093 40.65600814278806, -73.91301825398466 40.65600679415689))",0.797136364,0,2024-05-06 06:45:00,Department of Transportation,Street Condition,Pothole,,
Queens,65,"POLYGON ((-73.8766476725735 40.73623544375824, -73.87664513188132 40.73760781877612, -73.87844937394281 40.73760973722932, -73.87845187747382 40.73623736217228, -73.8766476725735 40.73623544375824))",-0.041295918,0,2024-01-14 10:00:00,New York City Police Department,Encampment,,Subway,
